Target relationship: abs_chronotype_desync -> cluster
Model Formula: Formula(cluster ~ abs_chronotype_desync + age + patient_chronotype + sex + sri + (1|id))

                           mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd   ess_bulk  ess_tail  r_hat
abs_chronotype_desync[1] -0.134  0.042  -0.216   -0.056      0.000    0.000  15248.143  6242.181  1.000
abs_chronotype_desync[2] -0.050  0.041  -0.124    0.030      0.000    0.000  14856.925  6708.018  1.001
age[1]                   -0.083  0.049  -0.173    0.011      0.000    0.000  12067.180  7242.625  1.000
age[2]                   -0.132  0.051  -0.226   -0.033      0.000    0.000  11876.109  6929.478  1.000
patient_chronotype[1]     0.140  0.050   0.048    0.234      0.000    0.001  10116.875  5781.198  1.000
patient_chronotype[2]     0.169  0.053   0.070    0.270      0.000    0.001  11329.637  5963.388  1.001
sex[1, M]                -0.474  0.093  -0.645   -0.297      0.001    0.001  11234.731  7135.354  1.000
sex[2, M]                -0.533  0.100  -0.720   -0.345      0.001    0.001  11541.437  6651.584  1.000
sri[1]                    0.158  0.048   0.072    0.253      0.000    0.001  11877.946  6576.972  1.000
sri[2]                    0.085  0.051  -0.015    0.174      0.000    0.001  11433.708  6696.287  1.000
1|id_sigma                0.795  0.043   0.714    0.875      0.001    0.000   2665.433  4294.215  1.000
1|id[1, 1]                0.498  0.612  -0.676    1.635      0.005    0.008  16448.786  5912.598  1.000
1|id[1, 4]               -0.648  0.621  -1.793    0.508      0.005    0.008  15566.726  6239.457  1.000
1|id[1, 6]                0.449  0.589  -0.719    1.492      0.004    0.008  18724.970  5426.612  1.001
1|id[1, 7]                0.410  0.591  -0.703    1.531      0.005    0.008  14858.687  5529.270  1.001
1|id[1, 9]                0.318  0.604  -0.760    1.474      0.005    0.008  16904.759  6058.756  1.000
1|id[1, 10]               0.539  0.567  -0.512    1.607      0.004    0.007  16902.857  5524.824  1.000
1|id[1, 16]              -0.153  0.647  -1.405    1.019      0.005    0.009  15503.096  5466.242  1.000
1|id[1, 18]              -0.295  0.546  -1.322    0.712      0.004    0.007  17126.291  5236.349  1.000
1|id[1, 21]              -0.380  0.574  -1.495    0.664      0.005    0.008  15972.125  5588.394  1.000
1|id[1, 22]              -0.086  0.600  -1.259    1.020      0.004    0.008  17996.211  5748.150  1.001
1|id[1, 23]               0.520  0.578  -0.549    1.605      0.005    0.007  15492.017  5936.197  1.001
1|id[1, 24]               0.353  0.628  -0.881    1.481      0.005    0.008  17418.153  5606.688  1.001
1|id[1, 25]               0.611  0.583  -0.435    1.742      0.005    0.007  15912.748  5773.932  1.000
1|id[1, 26]              -0.977  0.624  -2.207    0.128      0.005    0.008  15018.546  5122.481  1.001
1|id[1, 27]               0.440  0.626  -0.740    1.589      0.005    0.008  15416.521  6095.015  1.000
1|id[1, 33]               0.447  0.614  -0.679    1.614      0.005    0.008  16513.593  5614.205  1.000
1|id[1, 35]               0.189  0.633  -1.066    1.327      0.005    0.009  18433.432  5556.952  1.000
1|id[1, 46]              -0.194  0.649  -1.422    1.019      0.005    0.010  17436.636  4993.020  1.000
1|id[1, 48]              -0.312  0.631  -1.559    0.835      0.005    0.008  18419.426  5506.108  1.000
1|id[1, 49]               0.378  0.615  -0.802    1.544      0.005    0.009  17830.526  5666.995  1.001
1|id[1, 50]               0.133  0.586  -0.977    1.252      0.005    0.008  16431.317  6124.466  1.000
1|id[1, 51]              -0.617  0.616  -1.769    0.543      0.005    0.009  14519.079  5246.661  1.002
1|id[1, 53]              -0.593  0.603  -1.656    0.609      0.005    0.008  14434.814  5544.789  1.000
1|id[1, 55]               0.519  0.607  -0.626    1.636      0.005    0.008  18071.992  5668.799  1.001
1|id[1, 63]              -0.568  0.669  -1.814    0.679      0.005    0.008  15832.323  6076.264  1.002
1|id[1, 85]              -0.554  0.595  -1.711    0.535      0.005    0.008  14600.564  5695.066  1.000
1|id[1, 86]              -0.764  0.664  -1.986    0.494      0.005    0.008  16379.379  6138.209  1.001
1|id[1, 94]               0.067  0.614  -1.046    1.227      0.005    0.008  17629.340  5678.977  1.000
1|id[1, 96]              -0.590  0.604  -1.708    0.535      0.005    0.008  16407.949  6343.345  1.001
1|id[1, 101]              0.083  0.613  -1.112    1.189      0.005    0.008  15280.743  6303.455  1.001
1|id[1, 104]              0.131  0.558  -0.917    1.176      0.004    0.008  18744.801  5603.774  1.001
1|id[1, 105]             -0.383  0.626  -1.578    0.744      0.005    0.008  17168.715  6059.721  1.000
1|id[1, 106]              0.588  0.594  -0.526    1.716      0.005    0.008  17148.647  5443.792  1.000
1|id[1, 108]              0.619  0.568  -0.500    1.639      0.005    0.007  15449.536  5551.508  1.000
1|id[1, 112]             -0.683  0.690  -1.990    0.618      0.005    0.010  18558.139  5315.233  1.001
1|id[1, 113]              0.553  0.536  -0.506    1.501      0.004    0.007  16234.897  5414.330  1.000
1|id[1, 114]             -0.502  0.607  -1.585    0.676      0.005    0.008  13857.580  5162.796  1.000
1|id[1, 118]              0.438  0.580  -0.697    1.486      0.005    0.007  15509.872  6048.270  1.000
1|id[1, 119]             -0.058  0.694  -1.413    1.204      0.005    0.009  17866.501  5623.902  1.000
1|id[1, 124]             -0.201  0.588  -1.284    0.946      0.005    0.007  15948.058  6409.597  1.000
1|id[1, 125]              0.083  0.625  -1.055    1.246      0.006    0.008  12830.161  5353.472  1.002
1|id[1, 127]              1.257  0.608   0.154    2.436      0.005    0.009  17803.674  4952.862  1.001
1|id[1, 151]              0.634  0.592  -0.513    1.727      0.005    0.007  15317.356  5855.371  1.001
1|id[1, 152]              0.552  0.608  -0.612    1.658      0.005    0.007  15392.839  6225.906  1.001
1|id[1, 153]             -0.102  0.688  -1.360    1.205      0.006    0.010  15654.334  4921.890  1.000
1|id[1, 165]              0.063  0.625  -1.085    1.226      0.005    0.008  19173.649  5779.911  1.001
1|id[1, 176]              0.040  0.599  -1.100    1.114      0.005    0.007  16089.328  6009.340  1.001
1|id[1, 197]             -0.059  0.683  -1.325    1.228      0.005    0.010  16766.441  4979.895  1.002
1|id[1, 198]              0.071  0.575  -1.010    1.123      0.004    0.008  16892.179  5547.661  1.001
1|id[1, 200]              1.049  0.625  -0.167    2.168      0.005    0.008  17273.543  5789.337  1.000
1|id[1, 232]              0.174  0.631  -0.922    1.446      0.005    0.008  15209.628  6246.117  1.002
1|id[1, 233]              0.116  0.575  -0.909    1.272      0.004    0.008  17301.970  5308.744  1.001
1|id[1, 234]              0.493  0.574  -0.624    1.535      0.005    0.008  15633.723  4826.935  1.000
1|id[1, 235]              0.058  0.710  -1.342    1.331      0.006    0.010  15733.307  5676.982  1.000
1|id[1, 236]             -0.099  0.682  -1.445    1.167      0.005    0.010  18352.584  4799.691  1.000
1|id[1, 240]             -0.484  0.592  -1.630    0.567      0.004    0.008  19454.248  5322.713  1.000
1|id[1, 256]              0.753  0.571  -0.262    1.880      0.005    0.007  16238.204  5705.072  1.001
