Target relationship: chronotype_desync -> cluster
Model Formula: Formula(cluster ~ age + chronotype_desync + patient_chronotype + sex + sri + (1|id))

                        mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd   ess_bulk  ess_tail  r_hat
age[1]                -0.081  0.049  -0.169    0.014      0.000    0.001  10917.291  6584.364  1.000
age[2]                -0.130  0.052  -0.226   -0.033      0.000    0.001  11796.966  6670.776  1.001
chronotype_desync[1]   0.058  0.036  -0.010    0.125      0.000    0.000  14987.972  6665.936  1.000
chronotype_desync[2]   0.089  0.038   0.014    0.156      0.000    0.000  14964.105  6213.501  1.001
patient_chronotype[1]  0.126  0.049   0.032    0.216      0.000    0.000   9839.363  7265.722  1.000
patient_chronotype[2]  0.164  0.052   0.066    0.264      0.000    0.001  11948.031  6448.136  1.000
sex[1, M]             -0.475  0.093  -0.653   -0.307      0.001    0.001  10249.849  6653.298  1.001
sex[2, M]             -0.536  0.100  -0.717   -0.341      0.001    0.001  12435.725  6843.543  1.000
sri[1]                 0.192  0.047   0.106    0.281      0.000    0.000  11237.799  6575.986  1.001
sri[2]                 0.099  0.049   0.014    0.197      0.000    0.001  11201.305  6778.224  1.000
1|id_sigma             0.795  0.042   0.714    0.874      0.001    0.000   2801.340  4597.887  1.001
1|id[1, 1]             0.498  0.624  -0.726    1.626      0.005    0.008  17058.007  5289.140  1.000
1|id[1, 4]            -0.602  0.609  -1.797    0.513      0.005    0.008  14619.326  5372.276  1.000
1|id[1, 6]             0.474  0.601  -0.702    1.572      0.005    0.009  15817.256  5064.768  1.000
1|id[1, 7]             0.405  0.579  -0.670    1.499      0.004    0.007  18824.073  6526.032  1.000
1|id[1, 9]             0.338  0.619  -0.836    1.477      0.005    0.009  14599.808  5342.259  1.000
1|id[1, 10]            0.544  0.569  -0.479    1.636      0.005    0.008  15878.274  6252.622  1.001
1|id[1, 16]           -0.152  0.663  -1.425    1.064      0.006    0.009  13466.716  5115.254  1.000
1|id[1, 18]           -0.292  0.562  -1.344    0.771      0.004    0.008  16228.024  5577.152  1.001
1|id[1, 21]           -0.367  0.576  -1.447    0.695      0.005    0.008  15984.765  5703.067  1.001
1|id[1, 22]           -0.077  0.601  -1.190    1.084      0.005    0.008  17924.481  5613.626  1.001
1|id[1, 23]            0.537  0.580  -0.576    1.607      0.005    0.008  16216.111  5499.646  1.000
1|id[1, 24]            0.367  0.615  -0.819    1.497      0.005    0.008  16989.457  5952.827  1.000
1|id[1, 25]            0.633  0.577  -0.418    1.723      0.005    0.007  16109.740  5719.125  1.000
1|id[1, 26]           -0.978  0.605  -2.119    0.128      0.005    0.008  16294.095  5370.522  1.002
1|id[1, 27]            0.444  0.642  -0.766    1.634      0.005    0.008  15093.262  5654.831  1.001
1|id[1, 33]            0.463  0.606  -0.678    1.605      0.005    0.008  15229.797  5433.920  1.002
1|id[1, 35]            0.211  0.639  -0.964    1.418      0.005    0.009  14113.866  5066.086  1.002
1|id[1, 46]           -0.167  0.651  -1.347    1.101      0.005    0.009  16838.240  5691.852  1.001
1|id[1, 48]           -0.314  0.618  -1.570    0.769      0.005    0.008  16290.386  4948.968  1.001
1|id[1, 49]            0.368  0.612  -0.768    1.542      0.005    0.009  15548.158  4652.787  1.002
1|id[1, 50]            0.127  0.581  -0.939    1.267      0.005    0.008  15586.759  5896.169  1.000
1|id[1, 51]           -0.636  0.604  -1.715    0.525      0.005    0.008  13602.896  5875.938  1.000
1|id[1, 53]           -0.598  0.606  -1.778    0.526      0.005    0.008  17384.800  5801.040  1.000
1|id[1, 55]            0.556  0.606  -0.578    1.707      0.005    0.008  17304.865  6088.551  1.001
1|id[1, 63]           -0.558  0.661  -1.791    0.691      0.005    0.009  15390.949  5752.041  1.000
1|id[1, 85]           -0.541  0.599  -1.697    0.551      0.005    0.008  14015.522  5436.035  1.002
1|id[1, 86]           -0.727  0.677  -1.992    0.566      0.005    0.009  16065.157  5044.778  1.000
1|id[1, 94]            0.077  0.614  -1.085    1.247      0.005    0.007  15804.721  5827.921  1.000
1|id[1, 96]           -0.602  0.602  -1.786    0.497      0.005    0.007  15080.830  6298.211  1.000
1|id[1, 101]           0.059  0.621  -1.092    1.260      0.005    0.009  17655.511  5353.841  1.001
1|id[1, 104]           0.134  0.574  -0.920    1.219      0.004    0.008  18608.408  5192.731  1.002
1|id[1, 105]          -0.398  0.628  -1.607    0.724      0.005    0.008  16186.107  6118.615  1.000
1|id[1, 106]           0.595  0.597  -0.535    1.696      0.005    0.009  16123.891  6057.393  1.001
1|id[1, 108]           0.629  0.561  -0.428    1.661      0.005    0.007  15188.982  5831.325  1.000
1|id[1, 112]          -0.690  0.669  -1.969    0.546      0.005    0.009  18324.463  6217.800  1.001
1|id[1, 113]           0.498  0.527  -0.476    1.497      0.004    0.007  15715.314  5861.712  1.000
1|id[1, 114]          -0.506  0.619  -1.665    0.645      0.005    0.008  18170.003  5971.856  1.000
1|id[1, 118]           0.416  0.590  -0.684    1.531      0.005    0.008  15197.882  6114.527  1.001
1|id[1, 119]          -0.030  0.691  -1.342    1.245      0.006    0.008  14545.371  5929.829  1.000
1|id[1, 124]          -0.219  0.576  -1.282    0.872      0.005    0.007  15590.479  6031.517  1.000
1|id[1, 125]           0.063  0.615  -1.084    1.241      0.005    0.008  13900.488  6059.432  1.001
1|id[1, 127]           1.271  0.602   0.137    2.402      0.005    0.008  14166.894  5584.587  1.000
1|id[1, 151]           0.642  0.602  -0.514    1.773      0.005    0.008  13583.444  5229.356  1.001
1|id[1, 152]           0.569  0.604  -0.534    1.729      0.005    0.008  15403.257  5796.866  1.001
1|id[1, 153]          -0.077  0.670  -1.374    1.140      0.005    0.009  17590.683  5951.892  1.000
1|id[1, 165]           0.047  0.619  -1.093    1.238      0.005    0.008  15567.699  5174.463  1.002
1|id[1, 176]           0.069  0.600  -1.121    1.137      0.005    0.008  16856.395  5845.084  1.001
1|id[1, 197]          -0.068  0.678  -1.342    1.195      0.005    0.009  16275.649  5002.252  1.001
1|id[1, 198]           0.059  0.585  -1.009    1.174      0.005    0.008  16400.891  5500.110  1.000
1|id[1, 200]           1.080  0.644  -0.179    2.256      0.005    0.009  16172.238  5647.601  1.001
1|id[1, 232]           0.201  0.640  -0.990    1.385      0.005    0.008  19118.560  6080.413  1.002
1|id[1, 233]           0.134  0.574  -0.997    1.174      0.004    0.008  16778.174  4935.654  1.000
1|id[1, 234]           0.472  0.572  -0.629    1.538      0.005    0.007  14136.632  6110.962  1.000
