Target relationship: patient_chronotype -> cluster
Model Formula: Formula(cluster ~ age + patient_chronotype + sex + sri + (1|id))

                        mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd   ess_bulk  ess_tail  r_hat
age[1]                -0.081  0.049  -0.168    0.014      0.000    0.001  10315.732  6581.295  1.000
age[2]                -0.130  0.051  -0.226   -0.033      0.000    0.001  10433.821  6254.284  1.000
patient_chronotype[1]  0.125  0.050   0.028    0.218      0.000    0.001  11725.728  6674.383  1.000
patient_chronotype[2]  0.162  0.053   0.065    0.262      0.001    0.001  10577.533  6768.313  1.000
sex[1, M]             -0.474  0.092  -0.644   -0.299      0.001    0.001  11487.313  6515.949  1.001
sex[2, M]             -0.534  0.099  -0.721   -0.351      0.001    0.001  11728.720  6483.608  1.000
sri[1]                 0.194  0.046   0.106    0.277      0.000    0.000  11456.680  6577.144  1.000
sri[2]                 0.099  0.048   0.010    0.190      0.000    0.001  11183.978  6602.910  1.000
1|id_sigma             0.794  0.043   0.714    0.875      0.001    0.000   2506.640  4523.445  1.002
1|id[1, 1]             0.501  0.618  -0.631    1.673      0.005    0.008  16570.815  5769.669  1.001
1|id[1, 4]            -0.612  0.603  -1.712    0.545      0.004    0.008  18262.709  6231.133  1.002
1|id[1, 6]             0.475  0.610  -0.675    1.605      0.005    0.009  16346.856  4779.981  1.001
1|id[1, 7]             0.408  0.573  -0.642    1.490      0.004    0.007  16369.015  5951.988  1.000
1|id[1, 9]             0.343  0.614  -0.861    1.445      0.005    0.008  18216.446  6189.757  1.001
1|id[1, 10]            0.539  0.575  -0.507    1.673      0.005    0.008  14811.906  5688.809  1.000
1|id[1, 16]           -0.144  0.647  -1.364    1.033      0.005    0.009  18105.467  5512.962  1.002
1|id[1, 18]           -0.296  0.554  -1.343    0.735      0.004    0.007  16527.804  5613.959  1.001
1|id[1, 21]           -0.355  0.562  -1.433    0.667      0.005    0.007  14855.504  5687.520  1.001
1|id[1, 22]           -0.080  0.601  -1.209    1.066      0.005    0.008  15747.961  5752.867  1.000
1|id[1, 23]            0.540  0.582  -0.606    1.575      0.005    0.007  13440.981  5574.421  1.001
1|id[1, 24]            0.368  0.612  -0.795    1.520      0.005    0.008  17041.688  5269.671  1.002
1|id[1, 25]            0.625  0.590  -0.462    1.765      0.005    0.008  17005.948  5854.120  1.000
1|id[1, 26]           -0.970  0.611  -2.136    0.132      0.005    0.008  15857.729  5650.030  1.001
1|id[1, 27]            0.433  0.649  -0.766    1.652      0.005    0.010  17009.005  5115.278  1.001
1|id[1, 33]            0.467  0.588  -0.579    1.600      0.005    0.007  15821.604  6130.654  1.000
1|id[1, 35]            0.206  0.647  -0.968    1.451      0.005    0.009  17301.941  5130.130  1.001
1|id[1, 46]           -0.158  0.642  -1.399    1.004      0.005    0.009  17138.721  6012.687  1.001
1|id[1, 48]           -0.318  0.625  -1.465    0.842      0.005    0.009  17241.645  5211.197  1.000
1|id[1, 49]            0.361  0.617  -0.828    1.500      0.005    0.008  17256.925  5577.526  1.001
1|id[1, 50]            0.114  0.583  -1.016    1.162      0.004    0.008  17402.189  5682.657  1.001
1|id[1, 51]           -0.648  0.595  -1.728    0.495      0.005    0.009  16760.654  5299.045  1.000
1|id[1, 53]           -0.594  0.621  -1.750    0.560      0.005    0.008  17753.759  5846.257  1.000
1|id[1, 55]            0.559  0.621  -0.593    1.719      0.004    0.009  19624.245  6003.331  1.000
1|id[1, 63]           -0.559  0.695  -1.865    0.783      0.005    0.010  16961.759  5520.747  1.001
1|id[1, 85]           -0.552  0.605  -1.732    0.547      0.005    0.008  16966.624  5090.842  1.001
1|id[1, 86]           -0.722  0.656  -1.959    0.487      0.005    0.008  15415.229  5808.202  1.000
1|id[1, 94]            0.076  0.612  -1.094    1.189      0.005    0.008  16402.675  6277.553  1.001
1|id[1, 96]           -0.597  0.602  -1.685    0.593      0.005    0.008  14451.558  6201.423  1.001
1|id[1, 101]           0.063  0.606  -1.065    1.182      0.004    0.008  18975.768  5725.419  1.001
1|id[1, 104]           0.132  0.561  -0.909    1.202      0.004    0.007  17254.490  5587.823  1.000
1|id[1, 105]          -0.408  0.611  -1.524    0.770      0.005    0.008  17421.936  6063.688  1.001
1|id[1, 106]           0.586  0.605  -0.544    1.751      0.005    0.008  16983.389  5743.583  1.001
1|id[1, 108]           0.631  0.557  -0.408    1.673      0.004    0.008  18491.845  5643.363  1.000
1|id[1, 112]          -0.690  0.657  -1.881    0.586      0.005    0.008  16861.520  5605.797  1.001
1|id[1, 113]           0.513  0.522  -0.469    1.500      0.004    0.006  16659.044  6180.234  1.001
1|id[1, 114]          -0.501  0.590  -1.656    0.558      0.004    0.007  17885.285  5862.594  1.000
1|id[1, 118]           0.425  0.581  -0.616    1.567      0.005    0.007  15841.244  6481.621  1.000
1|id[1, 119]          -0.046  0.695  -1.345    1.293      0.005    0.010  16882.951  5149.171  1.002
1|id[1, 124]          -0.224  0.597  -1.304    0.933      0.005    0.007  16762.627  5745.285  1.000
1|id[1, 125]           0.071  0.602  -1.146    1.108      0.004    0.008  17975.395  6300.036  1.000
1|id[1, 127]           1.266  0.604   0.141    2.414      0.005    0.008  14388.510  6115.261  1.000
1|id[1, 151]           0.639  0.583  -0.460    1.708      0.005    0.007  15218.455  6641.330  1.000
1|id[1, 152]           0.577  0.600  -0.586    1.686      0.005    0.007  16224.560  6242.605  1.000
1|id[1, 153]          -0.080  0.666  -1.348    1.175      0.005    0.009  17788.549  5794.733  1.001
1|id[1, 165]           0.046  0.616  -1.128    1.156      0.005    0.007  15232.805  6218.319  1.001
1|id[1, 176]           0.048  0.590  -1.039    1.185      0.005    0.007  16235.448  5425.508  1.001
1|id[1, 197]          -0.069  0.667  -1.375    1.126      0.005    0.009  17841.948  5732.503  1.000
1|id[1, 198]           0.052  0.572  -0.999    1.137      0.004    0.007  17808.956  5475.193  1.000
1|id[1, 200]           1.081  0.623  -0.057    2.232      0.005    0.008  15688.258  6062.983  1.001
1|id[1, 232]           0.203  0.645  -1.019    1.370      0.005    0.008  19229.350  6039.789  1.000
1|id[1, 233]           0.135  0.580  -0.987    1.175      0.005    0.007  15020.360  5818.107  1.000
1|id[1, 234]           0.472  0.574  -0.617    1.535      0.005    0.007  15939.464  5931.331  1.000
