Target relationship: se -> cluster
Model Formula: Formula(cluster ~ abs_chronotype_desync + age + chronotype_desync + se + sfi + sri + waso + (1|id))

                           mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd   ess_bulk  ess_tail  r_hat
abs_chronotype_desync[1] -0.139  0.044  -0.219   -0.056      0.000    0.000  13191.520  6718.465  1.001
abs_chronotype_desync[2] -0.072  0.044  -0.154    0.012      0.000    0.000  13123.522  7124.271  1.000
age[1]                    0.068  0.051  -0.027    0.166      0.001    0.001  10126.666  6776.801  1.001
age[2]                   -0.097  0.053  -0.194    0.005      0.001    0.001   9831.006  6144.961  1.000
chronotype_desync[1]      0.066  0.039  -0.007    0.138      0.000    0.000  14683.919  6562.416  1.000
chronotype_desync[2]      0.097  0.040   0.021    0.169      0.000    0.000  14523.359  6719.661  1.000
se[1]                    -0.168  0.088  -0.329   -0.001      0.001    0.001   8912.645  5979.982  1.000
se[2]                    -0.121  0.094  -0.303    0.051      0.001    0.001   9173.276  5642.734  1.000
sfi[1]                    0.407  0.050   0.311    0.500      0.000    0.001  11063.740  6744.409  1.000
sfi[2]                    0.177  0.053   0.081    0.282      0.001    0.001   9803.102  6424.293  1.001
sri[1]                    0.126  0.048   0.036    0.215      0.000    0.000   9609.426  6830.008  1.000
sri[2]                    0.067  0.049  -0.027    0.157      0.000    0.001  10776.135  6284.513  1.000
waso[1]                  -0.372  0.082  -0.523   -0.215      0.001    0.001   8730.787  6050.820  1.000
waso[2]                  -0.237  0.088  -0.402   -0.071      0.001    0.001  10088.815  6052.100  1.000
1|id_sigma                0.797  0.044   0.717    0.880      0.001    0.000   2636.967  4594.998  1.000
1|id[1, 1]                0.334  0.634  -0.881    1.515      0.005    0.009  15062.174  5213.840  1.000
1|id[1, 4]               -0.384  0.618  -1.548    0.776      0.005    0.008  16476.610  5425.375  1.002
1|id[1, 6]                0.380  0.603  -0.717    1.522      0.005    0.009  16378.795  5624.147  1.001
1|id[1, 7]                0.448  0.589  -0.677    1.553      0.004    0.008  17587.872  5671.680  1.001
1|id[1, 9]                0.333  0.613  -0.790    1.505      0.004    0.008  18762.618  5778.632  1.001
1|id[1, 10]               0.604  0.556  -0.468    1.616      0.004    0.007  18183.974  5744.012  1.000
1|id[1, 16]              -0.247  0.647  -1.495    0.958      0.005    0.009  15910.711  5719.500  1.001
1|id[1, 18]              -0.142  0.555  -1.202    0.901      0.004    0.007  18036.289  5453.425  1.001
1|id[1, 21]              -0.211  0.582  -1.352    0.828      0.005    0.008  15333.964  5371.859  1.001
1|id[1, 22]              -0.174  0.600  -1.309    0.934      0.004    0.008  19124.095  6037.947  1.001
1|id[1, 23]               0.378  0.591  -0.713    1.499      0.004    0.008  18148.795  5244.055  1.001
1|id[1, 24]               0.201  0.618  -0.962    1.377      0.005    0.008  17630.865  5709.214  1.001
1|id[1, 25]               0.445  0.600  -0.701    1.525      0.005    0.007  16283.753  5786.899  1.001
1|id[1, 26]              -0.990  0.617  -2.092    0.224      0.005    0.008  16786.982  5370.253  1.001
1|id[1, 27]               0.516  0.637  -0.649    1.729      0.005    0.009  18613.460  5657.160  1.002
1|id[1, 33]               0.267  0.623  -0.867    1.454      0.005    0.008  15710.873  5913.750  1.000
1|id[1, 35]              -0.015  0.625  -1.176    1.171      0.004    0.009  21148.573  4700.511  1.001
1|id[1, 46]              -0.248  0.647  -1.445    0.970      0.005    0.008  20453.702  5931.673  1.001
1|id[1, 48]              -0.384  0.622  -1.550    0.759      0.005    0.008  15835.650  5363.513  1.003
